id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,noi_dung_binh_luan_processed,label
1,443,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",29/04/2023,17:06,5,308500015,dễ_dàng thoải_mái,1
2,1030,"Sử dụng dễ dãng,rất thoải mái,thư giãn tột độ",30/04/2023,15:04,5,308500015,dãng thoải_mái,1
3,689,Mình rất thích hasaki va sp tẩy trang này,30/04/2023,18:34,5,422216594,hasaki,1
4,2519,"Sản phẩm có khả năng làm sạch tốt. Lớp trang điểm trên da, mắt và môi nhanh chóng bị loại bỏ. Chỉ cần lau qua bằng một miếng bông tẩy trang là toàn bộ bụi bẩn, dầu thừa và lớp make-up đã được lấy đi. Vì thế, dùng cực kỳ tiết kiệm. Thêm nữa, em này cũng phù hợp cho da đang bị kích ứng. Bởi sản phẩm không chỉ làm sạch da mà còn làm dịu, giúp giảm tình trạng ngứa ngáy, khó chịu.",17/07/2022,13:48,5,204100075,sạch loại_bỏ bẩn dầu_thừa đi kích_ứng sạch mà_còn dịu giúp,1
5,402,"Sữa rửa mặt tốt,sạch mụn,mịn da,đáng mua nha",15/04/2023,23:04,5,422208977,rửa sạch mịn,1
7,2517,"Sau 77 49 dòng srm, thì chân ái là đây, mua tuyp nhỏ dùng thử trc, thấy ok nên nay mua chai 400ml luôn, nay là chai thứ 2 r ms lên đây đánh giá. Ns chung ai da nhờn, khô, hay hở tí là nổi mụn thì chai này ok nha, 100 điểm",25/12/2022,17:11,5,204100019,chân_ái thử khô khô,1
8,1750,"Đó giờ mình sài bha của obagi cũng 3-4 chai rồi. Nay đổi qua thử sài của plc xem thế nào . Hasaki chuẩn bị giao hàng nhanh , có kèm quà tặng, hết quà thì có trừ tiền sp cho mình",9/7/2022,4:34,5,100220035,sài đổi kèm tặng trừ sản_phẩm,1
9,3394,Rất ok mình xài 2 chai rồi,7/7/2022,11:18,5,204100024,đồng_ý xài,1
10,1817,"Mik bị kich ứng, không hợp sản phẩm, sd được 3ngay , pass lai cho bạn nào cần nha",5/2/2024,3:50,4,422216354,ứng_không_hợp sản_phẩm,1
11,3556,nhân viên tư vấn như mới train và được nhận vì da đẹp thôi á.t hỏi mấy sp dán mụn thôi mà trả lời sai tè le ra.mà mua về mở sp ra số luong cũng k như tư vấn,12/9/2023,22:33,5,100250032,tư_vấn đẹp á_hỏi dán trả_lời không_như,1
12,2375,"Mùi thơm dịu nhe , mát nhanh, thư giãn tột dộ",29/04/2023,16:52,5,422205163,mát,1
13,2027,"Mình khum đánh giá cao cái vụ nâng tông trắng da lắm, chỉ chỉnh được khoảng nửa-1 tông thôi. nhưng vừa chống nắng vừa làm kem lót thì phê nha, hợp mấy kiểu make up no make up đồ đó, đi học đi chơi tự nhiên không có bị dày & nặng mặt",24/10/2022,18:02,5,249500019,khum nâng trắng chỉnh chống làm_lót phê_hợp đi học đi dày,1
14,2928,"dù là hay được so sánh với BNBG nhma mình thấy con này cấp ẩm không tốt bằng BNBG nhưng vẫn rất tốt trong tầm giá, với mình da dầu thì da đủ ẩm và thoải mái sau mấy ngày treat. 13k cho một cái mặt nạ thì không cần bàn cãi, 10/10",27/03/2024,22:14,5,422209718,khô sánh nhma lừa tốt_trọng tầm_giá thoải_mái,1
